date,clones,clone_uniques,views,view_uniques
2026-08-08,0,0,0,0
2026-08-09,0,0,0,0
2026-08-10,0,0,0,0
2026-08-11,83,43,12,1
2026-08-12,174,106,1023,322
2026-08-13,81,56,302,102
2026-08-14,68,39,223,69
2026-08-15,113,57,194,58
2026-08-16,55,33,140,37
2026-08-17,120,55,211,79
2026-08-18,149,72,324,105
2026-08-19,162,79,311,116
2026-08-20,115,70,194,70
2026-08-21,257,76,205,45
2026-08-22,228,89,446,154
2026-08-23,465,112,692,260
2026-08-24,307,111,496,171
2026-08-25,204,87,262,91
2026-08-26,240,92,115,56
2026-08-27,286,93,145,70
2026-08-28,213,60,182,54
2026-08-29,102,49,41,23
