snapshot_date,window_days,clones,clone_uniques,views,view_uniques,stars,forks,watchers
2026-08-22,14,1377,587,3139,889,103,5,0
2026-08-23,14,1377,587,3139,889,115,6,1
2026-08-24,14,1605,660,3585,1026,140,7,1
2026-08-25,14,2070,756,4277,1275,150,8,1
2026-08-26,14,2377,855,4773,1420,151,8,1
2026-08-27,14,2564,867,4115,1232,155,8,1
2026-08-28,14,2769,893,3958,1211,158,8,1
2026-08-29,14,2769,893,3958,1211,157,8,1
2026-08-30,14,2903,886,3764,1159,158,8,1
2026-08-31,14,3012,906,3657,1138,158,8,1
2026-09-01,14,3080,907,3575,1095,162,8,1
2026-09-02,14,3113,907,3407,1051,165,8,1
